Famille	Protéine	Relation
Alpha-actinin family	ACTN2_MOUSE	familiale
Alpha-actinin family	ACTN4_HUMAN	familiale
Alpha-actinin family	ACTN1_HUMAN	familiale
Alpha-actinin family	ACTN3_HUMAN	familiale
AB hydrolase superfamily, ABHD16 family	ABHGB_HUMAN	familiale
AB hydrolase superfamily, ABHD16 family	ABHGB_MOUSE	familiale
Bcl-2 family	BCL2_MOUSE	familiale
5'-nucleotidase type 3 family	5NT1B_MOUSE	familiale
5'-nucleotidase type 3 family	5NT1A_HUMAN	familiale
Acylphosphatase family	ACYP2_HUMAN	familiale
Acylphosphatase family	AD26A_MOUSE	familiale
Acylphosphatase family	ADA18_MOUSE	familiale
G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM1 sub-subfamily	ACM1_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA1A_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA32_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADAP2_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADAS1_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA1A_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA21_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA22_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	ADA29_HUMAN	familiale
ADRM1 family	ADRM1_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB3 sub-subfamily	ADRB3_HUMAN	familiale
Pyrimidine 5'-nucleotidase family	5NT3A_MOUSE	familiale
Pyrimidine 5'-nucleotidase family	A1BG_MOUSE	familiale
Pyrimidine 5'-nucleotidase family	A20A5_HUMAN	familiale
Pyrimidine 5'-nucleotidase family	A26L1_HUMAN	familiale
Pyrimidine 5'-nucleotidase family	5NT3B_MOUSE	familiale
Pyrimidine 5'-nucleotidase family	5NT3B_HUMAN	familiale
Zyxin/ajuba family	AJUBA_MOUSE	familiale
ADAD family	ADAD2_HUMAN	familiale
ADAD family	ADAM2_MOUSE	familiale
ADAD family	ADAM7_MOUSE	familiale
ADAD family	ADAM9_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily	ADRB1_HUMAN	familiale
Sodium channel (TC 1.A.1.10) family, Nav1.5/SCN5A subfamily	SCN5A_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily	ADA1B_MOUSE	familiale
ADIPOR family	ADR2_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2B sub-subfamily	ADA2B_MOUSE	familiale
